Name,Platform,Genre,Critic_Score,User_Score,Rating
Wii Sports,0.75,0.9090909090909092,0.7411764705882352,0.8241758241758241,0.2
Mario Kart Wii,0.75,0.5454545454545454,0.8117647058823529,0.8571428571428572,0.2
Wii Sports Resort,0.75,0.9090909090909092,0.788235294117647,0.8241758241758241,0.2
New Super Mario Bros.,0.125,0.36363636363636365,0.8941176470588236,0.8791208791208791,0.2
Wii Play,0.75,0.2727272727272727,0.5294117647058824,0.6703296703296703,0.2
New Super Mario Bros. Wii,0.75,0.36363636363636365,0.8705882352941176,0.8681318681318682,0.2
Mario Kart DS,0.125,0.5454545454545454,0.9176470588235294,0.8901098901098901,0.2
Wii Fit,0.75,0.9090909090909092,0.788235294117647,0.7912087912087912,0.2
Kinect Adventures!,0.875,0.2727272727272727,0.5647058823529412,0.6373626373626373,0.2
Wii Fit Plus,0.75,0.9090909090909092,0.788235294117647,0.7582417582417582,0.2
Grand Theft Auto V,0.5,0.0,0.988235294117647,0.846153846153846,0.8
Grand Theft Auto: San Andreas,0.4375,0.0,0.9647058823529412,0.9340659340659341,0.8
Brain Age: Train Your Brain in Minutes a Day,0.125,0.2727272727272727,0.7529411764705882,0.8131868131868132,0.2
Grand Theft Auto V,0.875,0.0,0.988235294117647,0.8351648351648351,0.8
Grand Theft Auto: Vice City,0.4375,0.0,0.9647058823529412,0.901098901098901,0.8
Brain Age 2: More Training in Minutes a Day,0.125,0.4545454545454546,0.7529411764705882,0.7252747252747251,0.2
Gran Turismo 3: A-Spec,0.4375,0.5454545454545454,0.9647058823529412,0.8681318681318682,0.2
Call of Duty: Modern Warfare 3,0.875,0.7272727272727273,0.8823529411764705,0.31868131868131866,0.8
Call of Duty: Black Ops,0.875,0.7272727272727273,0.8705882352941176,0.6373626373626373,0.8
Call of Duty: Black Ops II,0.5,0.7272727272727273,0.8235294117647058,0.5274725274725274,0.8
Call of Duty: Black Ops II,0.875,0.7272727272727273,0.8235294117647058,0.4725274725274725,0.8
Call of Duty: Modern Warfare 2,0.875,0.7272727272727273,0.9529411764705883,0.6373626373626373,0.8
Call of Duty: Modern Warfare 3,0.5,0.7272727272727273,0.8823529411764705,0.29670329670329676,0.8
Grand Theft Auto III,0.4375,0.0,0.988235294117647,0.8791208791208791,0.8
Super Smash Bros. Brawl,0.75,0.18181818181818182,0.9411764705882352,0.9230769230769231,1.0
Mario Kart 7,0.0,0.5454545454545454,0.8470588235294118,0.846153846153846,0.2
Call of Duty: Black Ops,0.5,0.7272727272727273,0.8823529411764705,0.6483516483516484,0.8
Grand Theft Auto V,0.5625,0.0,0.988235294117647,0.8571428571428572,0.8
Animal Crossing: Wild World,0.125,0.8181818181818182,0.8588235294117647,0.901098901098901,0.2
Halo 3,0.875,0.7272727272727273,0.9529411764705883,0.8021978021978021,0.8
Gran Turismo 4,0.4375,0.5454545454545454,0.8941176470588236,0.8791208791208791,0.2
Super Mario Galaxy,0.75,0.36363636363636365,0.988235294117647,0.9230769230769231,0.2
Grand Theft Auto IV,0.875,0.0,0.9999999999999999,0.8131868131868132,0.8
Gran Turismo,0.375,0.5454545454545454,0.9764705882352941,0.901098901098901,0.2
Super Mario 3D Land,0.0,0.36363636363636365,0.9058823529411765,0.8681318681318682,0.2
Gran Turismo 5,0.5,0.5454545454545454,0.8352941176470589,0.7692307692307692,0.2
Call of Duty: Modern Warfare 2,0.5,0.7272727272727273,0.9529411764705883,0.6373626373626373,0.8
Grand Theft Auto IV,0.5,0.0,0.9999999999999999,0.7692307692307692,0.8
Call of Duty: Ghosts,0.875,0.7272727272727273,0.7058823529411764,0.23076923076923075,0.8
Just Dance 3,0.75,0.2727272727272727,0.7176470588235294,0.8021978021978021,0.4
New Super Mario Bros. 2,0.0,0.36363636363636365,0.7647058823529411,0.7362637362637362,0.2
Halo: Reach,0.875,0.7272727272727273,0.9176470588235294,0.8131868131868132,0.8
Final Fantasy VII,0.375,0.6363636363636364,0.9294117647058823,0.956043956043956,1.0
Halo 4,0.875,0.7272727272727273,0.8705882352941176,0.7142857142857142,0.8
Gran Turismo 2,0.375,0.5454545454545454,0.9411764705882352,0.9340659340659341,1.0
Just Dance 2,0.75,0.2727272727272727,0.7176470588235294,0.7472527472527472,0.4
Call of Duty: Ghosts,0.5,0.7272727272727273,0.6823529411764706,0.23076923076923075,0.8
Call of Duty 4: Modern Warfare,0.875,0.7272727272727273,0.9529411764705883,0.8681318681318682,0.8
Animal Crossing: New Leaf,0.0,0.8181818181818182,0.8823529411764705,0.901098901098901,0.2
Mario Party DS,0.125,0.2727272727272727,0.6941176470588235,0.8021978021978021,0.2
The Elder Scrolls V: Skyrim,0.875,0.6363636363636364,0.9764705882352941,0.8681318681318682,0.8
FIFA 16,0.5625,0.9090909090909092,0.8117647058823529,0.41758241758241754,0.2
Halo 2,0.9375,0.7272727272727273,0.9647058823529412,0.846153846153846,0.8
Wii Party,0.75,0.2727272727272727,0.6470588235294118,0.7582417582417582,0.2
Mario Party 8,0.75,0.2727272727272727,0.5764705882352941,0.6373626373626373,0.2
